-0.31827,1.1229,0.65144,0.8839,0.17022
-0.0087823,1.5663,0.43987,0.30615,0.11303
-0.19103,0.36747,0.53219,1.2413,0.1366
-0.19683,1.0671,0.26572,0.94494,0.11091
1.3939,1.0011,0.90878,-1.1766,0.1734
-0.030603,0.98048,0.006773,0.69882,0.36313
0.28204,0.93491,-0.26437,0.96559,0.033391
0.50548,-0.32361,0.30682,1.1126,0.14246
-0.29321,0.33284,0.74327,1.0512,-0.15098
0.12872,1.4674,0.020828,0.041597,0.19609
0.56489,0.25736,1.3019,-0.5565,0.20238
0.33806,0.19293,1.1517,-0.30027,0.27954
0.12628,-0.075448,0.30224,-0.12589,1.2904
1.6714,-0.80595,0.31434,0.19254,0.098279
0.72746,0.91784,0.57346,-0.77146,0.1539
0.36779,-0.17984,-0.22697,1.0233,0.35811
-0.25937,-0.11798,-0.050315,1.4812,0.17718
-0.59616,-0.031333,0.026039,0.37807,1.1503
-0.057549,0.0047804,0.16888,0.05627,0.6412
0.039117,0.32719,-0.059777,0.68598,-0.1651
0.81569,-0.25704,0.053676,-0.23708,0.35039
0.099987,-0.41505,0.11369,0.31673,0.345
0.41624,-0.32928,0.27007,-0.19722,0.2639
0.53761,-0.16159,0.14028,-0.2976,0.18652
0.21942,-0.17392,-0.058203,-0.005946,0.16435
0.19677,0.067633,-0.040741,-0.098935,0.046982
0.076997,-0.038922,-0.017247,-0.02153,0.13692
0.094404,-0.058161,-0.011973,-0.011401,0.1118
0.19835,-0.071696,-0.041209,-0.037654,0.085046
0.1782,0.086793,-0.069758,-0.093057,0.046331
0.12702,-0.12307,-0.0085205,0.0075003,0.076511
0.12965,-0.10719,-0.013261,-0.0011025,0.074712
0.11655,-0.0050596,-0.018685,-0.041155,0.036562
